game_name,app_id
Ghost Trick: Phantom Detective,1967430
Tiny Rogues,2088570
Dungeon Munchies,799640
DREDGE,1562430
A Space for the Unbound,1201270
候鸟,1765350
Outpath: First Journey,2237980
Like a Dragon Gaiden: The Man Who Erased His Name,2375550
Sucker for Love: First Date,1574270
WITCH ON THE HOLY NIGHT,2052410
100 Asian Cats,2667970
Ticy Adventure Club,2135690
ENDER MAGNOLIA: Bloom in the Mist,2725260
Bugsnax,674140
Sticky Business,2303350
Bopl Battle,1686940
Class of '09: The Re-Up,2318310
Minami Lane,2678990
REFLEXIA Prototype ver.,1997680
月に寄りそう乙女の作法,1776970
ASTLIBRA Revision,1718570
MULLET MADJACK,2111190
At Home Alone Final,1740100
SuchArt: Genius Artist Simulator,1293180
Abiotic Factor,427410
Metal: Hellsinger,1061910
Psychopomp,2771670
Cult of the Lamb,1313140
I commissioned some bees 0,2250060
FreshWomen - Season 1,1350650
Downfall - A Slay the Spire Fan Expansion,1865780
Tinykin,1599020
DORONKO WANKO,2512840
HROT,824600
Grimhook,2667430
In Stars And Time,1677310
PlateUp!,1599600
No Case Should Remain Unsolved,2676840
Chop Goblins,1935660
Spirit City: Lofi Sessions,2113850
Beacon Pines,1269640
ANIMAL WELL,813230
Touhou Hero of Ice Fairy,1955830
Rabbit and Steel,2132850
Nightmare Kart,2930160
Anomaly Agent,2378620
Rusty's Retirement,2666510
Indigo Park: Chapter 1,2504480
Kaiju Princess,1732180
Winter Memories,2495450
Portal: Revolution,601360
我的小鲨鱼,2758540
Voidigo,1304680
Will You Snail?,1115050
Dwarf Fortress,975370
Content Warning,2881650
NEEDY STREAMER OVERLOAD,1451940
Spin Rhythm XD,1058830
Minishoot' Adventures,1634860
Retrowave,1239690
Against the Storm,1336490
WitchSpring R,1958220
Disfigure,2083160
(the) Gnorp Apologue,1473350
Roboquest,692890
Living With Sister: Monochrome Fantasy,2429860
Bang-On Balls: Chronicles,1227650
The Talos Principle 2,835960
Half-Life: MMod,1761270
Buckshot Roulette,2835570
POSTAL: Brain Damaged,1359980
Cassette Beasts,1321440
Boneraiser Minions,1944570
Palworld,1623730
I Was a Teenage Exocolonist,1148760
私のリアルは充実しすぎている フルボイス版,2106520
OCTOPATH TRAVELER II,1971650
Goat Simulator 3,850190
Pages of Time: Prologue,2207540
100 Capitalist Cats,2743080
Loddlenaut,1644940
"Knowledge, or know Lady",2786680
Insomnia: Theater in the Head,2085360
COMPOUND,615120
Hades II,1145350
Farmer Against Potatoes Idle,1535560
Supraland Six Inches Under,1522870
Aperture Desk Job,1902490
Raft,648800
Save Room - Organization Puzzle,1955330
Contraband Police,756800
Animal Revolt Battle Simulator,1215390
Slime Rancher 2,1657630
Spaceflight Simulator,1718870
Love Is All Around,2322560
Strange Horticulture,1574580
Persona 3 Reload,2161700
Crime Scene Cleaner: Prologue,2540100
Cosmoteer: Starship Architect & Commander,799600
DR LIVESEY ROM AND DEATH EDITION,2181930
Symphony of War: The Nephilim Saga,1488200
Melatonin,1585220
Brick Rigs,552100
Nightmare of Decay,1848450
FAITH: The Unholy Trinity,1179080
The Past Within,1515210
Mortal Sin,1494810
Empires of the Undergrowth,463530
Judgment,2058180
ELDEN RING,1245620
Another Crab's Treasure,1887840
Aimlabs,714010
The Stanley Parable: Ultra Deluxe,1703340
Supermarket Simulator,2670630
Dinkum,1062520
Cobalt Core,2179850
Turbo Overkill,1328350
Barotrauma,602960
Soulstone Survivors: Prologue,2113430
PARANORMASIGHT: The Seven Mysteries of Honjo,2106840
